[2026-04-02T07:57:45.551Z] GET https://github.com/chenglou/pretext → 200 (620ms, 373181B)
[2026-04-02T07:57:46.176Z] GET https://github.githubassets.com/assets/light-0c8222dcd7a4f9b7.css → 200 (63ms, 76775B)
[2026-04-02T07:57:46.176Z] GET https://github.githubassets.com/assets/light_high_contrast-51c0c6e0c085cc0f.css → 200 (63ms, 77397B)
[2026-04-02T07:57:46.176Z] GET https://github.githubassets.com/assets/dark-fc6eec18532c3ae0.css → 200 (66ms, 76607B)
[2026-04-02T07:57:46.176Z] GET https://github.githubassets.com/assets/dark_high_contrast-96d7b2bab5a6ae4e.css → 200 (68ms, 77291B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/primer-primitives-10bf9dd67e3d70bd.css → 200 (65ms, 10084B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/primer-0fcd9af82350aeda.css → 200 (86ms, 412867B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/global-0bd78641c0a1f3e0.css → 200 (86ms, 299811B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/github-c94ab8d1f22049a8.css → 200 (87ms, 156676B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/repository-6ec84ae2261fecf8.css → 200 (87ms, 31098B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/code-2d31826944fd3be8.css → 200 (87ms, 32359B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/high-contrast-cookie-fed1d93364101384.js → 200 (87ms, 1298B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/wp-runtime-2d3c73c55d0ac85d.js → 200 (218ms, ?B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/85924-e131bec5f99667e1.js → 200 (215ms, ?B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/28839-734cb6d8a7150172.js → 200 (220ms, ?B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/34646-edd5528648c197b1.js → 200 (220ms, ?B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/environment-774bb29273d50b01.js → 200 (222ms, ?B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/runtime-helpers-3bb6f7d6b7a2f531.js → 200 (221ms, ?B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/2966-f6796bfd155feae1.js → 200 (222ms, ?B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/96232-69d46a31854353d4.js → 200 (224ms, ?B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/41013-7a6deee6d6ff15eb.js → 200 (223ms, ?B)
[2026-04-02T07:57:46.177Z] GET https://github.githubassets.com/assets/51210-3abb7238871a5b29.js → 200 (223ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/64247-7de91c52a8aca0eb.js → 200 (222ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/81683-1370179bf9bdc0f0.js → 200 (221ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/46740-6606b1026a237412.js → 200 (222ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/53102-f34caec7b425fe9f.js → 200 (224ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/github-elements-b24035aa51f284b4.js → 200 (224ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/element-registry-1a60d1ebf4c1ed3d.js → 200 (225ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/react-core-2e47687b4310af0f.js → 200 (236ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/react-lib-a4cf89fce9a1300a.js → 200 (242ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/7053-fe40037405b8998b.js → 200 (225ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/79039-2565b539a6ebc09b.js → 200 (234ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/61110-93cf7706e5dc8bfa.js → 200 (226ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/2887-47ac9a4b8862e6bf.js → 200 (226ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/26533-4df1172b25427069.js → 200 (238ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/45695-0f7265ae0cee4917.js → 200 (234ms, ?B)
[2026-04-02T07:57:46.178Z] GET https://github.githubassets.com/assets/86483-92f38323ee870655.js → 200 (234ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/86659-ee83bc63b54d5ea9.js → 200 (238ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/60481-19fcf1c5670a41f1.js → 200 (237ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/46287-a173e8d4423a732c.js → 200 (238ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/2498-7a413c8209222158.js → 200 (238ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/61075-c79d53892670e6db.js → 200 (239ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/89627-fbbd31c43d83e10c.js → 200 (239ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/49029-32f138b26aa15ad8.js → 200 (240ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/99328-5e06da57c4622e21.js → 200 (240ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/behaviors-601e6ef118c0fa96.js → 200 (244ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/react-core.d14f70276c05a07b.module.css → 200 (86ms, 446B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/4244-d5dcb589fae0ecbf.js → 200 (235ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/notifications-global-5bff6e56e8ce99b0.js → 200 (236ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/19262-313c6e4aa6bc1abc.js → 200 (236ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/13284-8b9feeae4ba8bcad.js → 200 (237ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/19930-d7474e22a5e73a83.js → 200 (241ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/codespaces-595fb1a71a7b3ae9.js → 200 (244ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/42890-dc8a427d0e01e2ea.js → pending (?ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/70206-3ba10f6524cc3c66.js → pending (?ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/repositories-bcdd7e391b80f360.js → pending (?ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/34140-bd56b738d77cb446.js → pending (?ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/code-menu-34c67a8e6616ccae.js → pending (?ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/primer-react-72d2ec7521017972.js → pending (?ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/octicons-react-a181826f33dcd4d8.js → pending (?ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/87376-c8ee9a1b2a90cc20.js → pending (?ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/37869-a873e81f0fcb98e2.js → pending (?ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/68751-fe5cb40b5547c377.js → 200 (242ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/7463-f34e26efc84a7578.js → pending (?ms, ?B)
[2026-04-02T07:57:46.179Z] GET https://github.githubassets.com/assets/15272-00d6ef52b0f88c77.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/32769-329cba91f224b6ee.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/46148-0e40187c0246d203.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/91498-c4157c3b474acdfa.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/50938-5b5d5a0255a1f741.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/97519-def3535ce684b22d.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/60350-634e837b0830a241.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/24844-58b030e66defd270.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/63991-125a5c660965e63e.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/73022-ba0350cffceb8489.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/59852-ef8d9f97624f514a.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/3624-9329741a7029c94d.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/66231-1e6cc99727940110.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/36600-b3024c97643f0102.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/33684-8c0b5018276812ee.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/18222-498ac30c45b2263a.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/96755-8619cf5f811a4353.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/4916-50f2539dc1c5e1ee.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/24787-791cfb59d6b5d03c.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/17363-9d3b6dc38025c8e2.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/1097-b805267515cb2087.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/13333-2a2decebccdb5c1f.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/5289-9f28f567ca806541.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/78958-461fe5d876e46831.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/62653-b5fad92fb3c5b665.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/54990-adbf64c5251a4ce5.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/43164-4602b5c5c2046360.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/9371-07f06acb4933225b.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/49972-40a4b0a31a6433a6.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/87332-306841b1acf677a6.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/21384-d19cbe6625546351.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/50110-4385e3caef0c7e52.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/26497-3db8876731818fda.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/61620-19f9abbaa22a2c62.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/45106-197ebc11e66a756f.js → pending (?ms, ?B)
[2026-04-02T07:57:46.180Z] GET https://github.githubassets.com/assets/61454-5bc52b8e37953166.js → pending (?ms, ?B)
[2026-04-02T07:57:46.181Z] GET https://github.githubassets.com/assets/code-view-9b1e14acd5b32fa3.js → pending (?ms, ?B)
[2026-04-02T07:57:46.181Z] GET https://github.githubassets.com/assets/primer-react-css.a2f41fc3ac05567f.module.css → 200 (63ms, 277208B)
[2026-04-02T07:57:46.181Z] GET https://github.githubassets.com/assets/87332.135fdd225a2878b8.module.css → 200 (63ms, 15924B)
[2026-04-02T07:57:46.181Z] GET https://github.githubassets.com/assets/61620.dde7b9d860abc7aa.module.css → 200 (78ms, 12222B)
[2026-04-02T07:57:46.181Z] GET https://github.githubassets.com/assets/61454.46d8d11144f6a144.module.css → 200 (82ms, 55381B)
[2026-04-02T07:57:46.181Z] GET https://github.githubassets.com/assets/code-view.1da6c6c3576ef5b6.module.css → 200 (83ms, 20973B)
[2026-04-02T07:57:46.181Z] GET https://github.githubassets.com/assets/75999-af2e3ea53e208314.js → pending (?ms, ?B)
[2026-04-02T07:57:46.181Z] GET https://github.githubassets.com/assets/2766-add282d602854c7b.js → pending (?ms, ?B)
[2026-04-02T07:57:46.181Z] GET https://github.githubassets.com/assets/notifications-subscriptions-menu-fa313c8742125beb.js → pending (?ms, ?B)
[2026-04-02T07:57:46.181Z] GET https://github.githubassets.com/assets/notifications-subscriptions-menu.7a1a03f633a0acdf.module.css → 200 (84ms, 2939B)
[2026-04-02T07:57:46.214Z] GET https://github.githubassets.com/assets/keyboard-shortcuts-dialog.ea2b62f533dc9058.module.css → 200 (45ms, 331B)
[2026-04-02T07:57:46.214Z] GET https://github.githubassets.com/assets/46752-46c707717fcbe6a9.js → pending (?ms, ?B)
[2026-04-02T07:57:46.214Z] GET https://github.githubassets.com/assets/sessions-d6380759dfce7642.js → pending (?ms, ?B)
[2026-04-02T07:57:46.214Z] GET https://github.githubassets.com/assets/marketing-navigation.5b4138cab2f44179.module.css → 200 (45ms, 10698B)
[2026-04-02T07:57:46.475Z] GET https://github.githubassets.com/assets/chunk-81053-97232c27d09ee7a0.js → 200 (222ms, 54023B)
[2026-04-02T07:57:46.547Z] GET https://github.com/chenglou/pretext/latest-commit → 200 (205ms, 968B)
[2026-04-02T07:57:46.547Z] GET https://github.com/chenglou/pretext/tree-commit-info → 200 (238ms, 11746B)
[2026-04-02T07:57:46.547Z] GET https://github.com/chenglou/pretext/recently-touched-branches → 200 (202ms, 58B)
[2026-04-02T07:57:46.547Z] GET https://github.com/chenglou/pretext/branch-and-tag-count → 200 (205ms, 23B)
[2026-04-02T07:57:46.605Z] GET https://github.githubassets.com/assets/chunk-51591-1317e890ac47146b.js → 200 (93ms, 17786B)
[2026-04-02T07:57:46.605Z] GET https://github.githubassets.com/assets/chunk-34877-fdaec2d7ab775509.js → 200 (93ms, 831B)
[2026-04-02T07:57:46.605Z] GET https://github.githubassets.com/assets/chunk-36423-7610f7b55bc7f34d.js → 200 (93ms, 11314B)
[2026-04-02T07:57:46.605Z] GET https://github.githubassets.com/assets/62758-90f5c6b8a7745117.js → 200 (94ms, 14671B)
[2026-04-02T07:57:46.605Z] GET https://github.githubassets.com/assets/chunk-82097-6038f37a0b084c85.js → 200 (95ms, 8842B)
[2026-04-02T07:57:46.605Z] GET https://github.githubassets.com/assets/2694-eb7c55471169d0e6.js → 200 (95ms, 24001B)
[2026-04-02T07:57:46.605Z] GET https://github.githubassets.com/assets/chunk-23482-b4ecd06fede12e66.js → 200 (95ms, 12159B)
[2026-04-02T07:57:46.605Z] GET https://github.githubassets.com/assets/chunk-2257-0b78378721f88705.js → 200 (96ms, 55099B)
[2026-04-02T07:57:46.605Z] GET https://github.githubassets.com/assets/55077-5c9ca4985817e0f1.js → 200 (96ms, 32175B)
[2026-04-02T07:57:46.605Z] GET https://github.githubassets.com/assets/chunk-78326-75c5610d70c5d5ec.js → 200 (102ms, 362B)
[2026-04-02T07:57:46.605Z] GET https://github.githubassets.com/assets/chunk-50050-27220c8ab6a21ca6.js → 200 (102ms, 678B)
[2026-04-02T07:57:46.605Z] GET https://github.githubassets.com/assets/chunk-54704-99dfdb910e72ad04.js → 200 (97ms, 7469B)
[2026-04-02T07:57:46.606Z] GET https://github.githubassets.com/assets/chunk-69038-ede883175639abbd.js → 200 (96ms, 573B)
[2026-04-02T07:57:46.606Z] GET https://github.githubassets.com/assets/chunk-46661-ffaf826ae5730065.js → 200 (96ms, 10201B)
[2026-04-02T07:57:46.606Z] GET https://github.githubassets.com/assets/36469-4e8e94139ad311e3.js → 200 (100ms, 9883B)
[2026-04-02T07:57:46.606Z] GET https://github.githubassets.com/assets/47028-4fa5b7e4cb7359e9.js → 200 (100ms, 10281B)
[2026-04-02T07:57:46.606Z] GET https://github.githubassets.com/assets/38963.f70dfea92b138b01.module.css → 200 (?ms, 311B)
[2026-04-02T07:57:46.606Z] GET https://github.githubassets.com/assets/71236-ed1398bff632952c.js → 200 (101ms, 11429B)
[2026-04-02T07:57:46.606Z] GET https://github.githubassets.com/assets/28174-86d8b64c92c04430.js → 200 (102ms, 85268B)
[2026-04-02T07:57:46.606Z] GET https://github.githubassets.com/assets/86361-6b377f3dc9565471.js → 200 (102ms, 17891B)
[2026-04-02T07:57:46.606Z] GET https://github.githubassets.com/assets/70168.374ce4e648336309.module.css → 200 (1ms, 10683B)
[2026-04-02T07:57:46.628Z] GET https://github.com/chenglou/pretext/hovercards/citation/sidebar_partial?tree_name=main → 204 (170ms, ?B)
[2026-04-02T07:57:46.628Z] GET https://github.com/chenglou/pretext/packages_list?current_repository=pretext → 200 (238ms, 394B)
[2026-04-02T07:57:46.628Z] GET https://github.com/chenglou/pretext/contributors_list?current_repository=pretext&deferred=true → 200 (219ms, 4709B)
[2026-04-02T07:57:46.716Z] GET https://github.com/chenglou/pretext/refs?type=branch → 200 (155ms, 116B)
[2026-04-02T07:57:46.717Z] GET https://github.com/chenglou/pretext/overview-files/main → 200 (236ms, 39688B)
[2026-04-02T07:57:46.717Z] GET https://github.githubassets.com/assets/39007.fa471facf86f7401.module.css → 200 (29ms, 1687B)
[2026-04-02T07:57:46.717Z] GET https://github.githubassets.com/assets/chunk-39007-4109765d7ab6619c.js → 200 (34ms, 3741B)
[2026-04-02T07:57:46.797Z] GET https://avatars.githubusercontent.com/u/1909539?v=4&size=40 → 200 (69ms, 3873B)
[2026-04-02T07:57:46.858Z] GET https://avatars.githubusercontent.com/u/1909539?s=64&v=4 → 200 (60ms, 8966B)
[2026-04-02T07:57:46.858Z] GET https://avatars.githubusercontent.com/u/81847?s=64&v=4 → 200 (18ms, 2980B)
[2026-04-02T07:57:46.858Z] GET https://avatars.githubusercontent.com/u/8848417?s=64&v=4 → 200 (61ms, 9264B)
[2026-04-02T07:57:46.858Z] GET https://avatars.githubusercontent.com/u/18808?s=64&v=4 → 200 (60ms, 3009B)
[2026-04-02T07:57:46.858Z] GET https://avatars.githubusercontent.com/u/32127?s=64&v=4 → 200 (60ms, 3460B)
[2026-04-02T07:57:46.859Z] GET https://avatars.githubusercontent.com/u/8186898?s=64&v=4 → 200 (59ms, 1831B)
[2026-04-02T07:57:46.859Z] GET https://avatars.githubusercontent.com/u/48018016?s=64&v=4 → 200 (59ms, 1516B)
[2026-04-02T07:57:46.859Z] GET https://avatars.githubusercontent.com/u/114345489?s=64&v=4 → 200 (60ms, 1521B)
[2026-04-02T07:57:46.859Z] GET https://avatars.githubusercontent.com/u/166604494?s=64&v=4 → 200 (60ms, 7807B)
[2026-04-02T07:57:46.867Z] GET https://github.githubassets.com/assets/appearance-settings.6f14ff9973550c9e.module.css → 200 (52ms, 5899B)
[2026-04-02T07:57:46.871Z] GET https://github.githubassets.com/assets/chunk-85825-b95e00c532a6f285.js → 200 (82ms, 43838B)
[2026-04-02T07:57:46.917Z] GET https://github.githubassets.com/assets/53160-2302d0b8388192b0.js → 200 (37ms, 15507B)
[2026-04-02T07:57:46.917Z] GET https://github.githubassets.com/assets/37160-72dc5a515abc7d3b.js → 200 (37ms, 10415B)
[2026-04-02T07:57:46.917Z] GET https://github.githubassets.com/assets/71849.38231ebf5311d902.module.css → 200 (2ms, 5885B)
[2026-04-02T07:57:47.004Z] POST https://collector.github.com/github/collect → 204 (340ms, ?B)
[2026-04-02T07:57:47.015Z] GET https://github.githubassets.com/assets/61975.bf2bb705802183ac.module.css → 200 (52ms, 1372B)
[2026-04-02T07:57:47.015Z] GET https://github.githubassets.com/assets/chunk-61975-77ccc5aab483e9dd.js → 200 (53ms, 3878B)
[2026-04-02T07:57:47.015Z] POST https://api.github.com/_private/browser/stats → 200 (277ms, ?B)
[2026-04-02T07:57:47.016Z] POST https://collector.github.com/github/collect → 204 (315ms, ?B)
[2026-04-02T07:57:47.111Z] POST https://collector.github.com/github/collect → 204 (147ms, ?B)
[2026-04-02T07:57:52.018Z] POST https://collector.github.com/github/collect → 204 (121ms, ?B)
